Location,Time,AgeId,Age,Value
United States of America,2063,69,45-49,24255146.5
United States of America,2063,66,50-54,24758781
United States of America,2063,68,55-59,24762864.5
United States of America,2063,60,60-64,22066175.5
United States of America,2064,67,15-19,21085012.5
United States of America,2064,75,20-24,23649371
United States of America,2064,57,25-29,24592660.5
United States of America,2064,62,30-34,24023752.5
United States of America,2064,63,35-39,23484486
United States of America,2064,64,40-44,23188709
United States of America,2064,69,45-49,24032838
United States of America,2064,66,50-54,24528628
United States of America,2064,68,55-59,25037194
United States of America,2064,60,60-64,22457620.5
United States of America,2065,67,15-19,20983755.5
United States of America,2065,75,20-24,23633045
United States of America,2065,57,25-29,24708309
United States of America,2065,62,30-34,24140387
United States of America,2065,63,35-39,23552495.5
United States of America,2065,64,40-44,23224296
United States of America,2065,69,45-49,23719878.5
United States of America,2065,66,50-54,24409117.5
United States of America,2065,68,55-59,25117740.5
United States of America,2065,60,60-64,22860044.5
United States of America,2066,67,15-19,20884004
United States of America,2066,75,20-24,23597906.5
United States of America,2066,57,25-29,24805302.5
United States of America,2066,62,30-34,24270246
United States of America,2066,63,35-39,23630885.5
United States of America,2066,64,40-44,23303630.5
United States of America,2066,69,45-49,23407233.5
United States of America,2066,66,50-54,24340226
United States of America,2066,68,55-59,24999075
United States of America,2066,60,60-64,23312473
United States of America,2067,67,15-19,20793199.5
United States of America,2067,75,20-24,23542942.5
United States of America,2067,57,25-29,24880529
United States of America,2067,62,30-34,24408340.5
United States of America,2067,63,35-39,23722766
United States of America,2067,64,40-44,23321100
United States of America,2067,69,45-49,23236629
United States of America,2067,66,50-54,24240400
United States of America,2067,68,55-59,24738725
United States of America,2067,60,60-64,23836566
United States of America,2068,67,15-19,20711686
United States of America,2068,75,20-24,23472439
United States of America,2068,57,25-29,24929705
United States of America,2068,62,30-34,24544163
United States of America,2068,63,35-39,23829310
United States of America,2068,64,40-44,23341981
United States of America,2068,69,45-49,23154470.5
United States of America,2068,66,50-54,24084356.5
United States of America,2068,68,55-59,24445713.5
United States of America,2068,60,60-64,24286624.5
United States of America,2069,67,15-19,20642504
United States of America,2069,75,20-24,23391136
United States of America,2069,57,25-29,24950152
United States of America,2069,62,30-34,24678438.5
United States of America,2069,63,35-39,23945024.5
United States of America,2069,64,40-44,23408904.5
United States of America,2069,69,45-49,23099917.5
United States of America,2069,66,50-54,23869025.5
United States of America,2069,68,55-59,24226157
United States of America,2069,60,60-64,24563159.5
United States of America,2070,67,15-19,20584738
United States of America,2070,75,20-24,23299611
United States of America,2070,57,25-29,24944713.5
United States of America,2070,62,30-34,24802058
United States of America,2070,63,35-39,24067200.5
United States of America,2070,64,40-44,23481248.5
United States of America,2070,69,45-49,23139494.5
United States of America,2070,66,50-54,23563996.5
United States of America,2070,68,55-59,24115348.5
United States of America,2070,60,60-64,24650058
United States of America,2071,67,15-19,20541072
United States of America,2071,75,20-24,23208200
United States of America,2071,57,25-29,24917651
United States of America,2071,62,30-34,24904280.5
United States of America,2071,63,35-39,24200666.5
United States of America,2071,64,40-44,23562718
United States of America,2071,69,45-49,23221655
United States of America,2071,66,50-54,23258714.5
United States of America,2071,68,55-59,24053588
United States of America,2071,60,60-64,24541809.5
United States of America,2072,67,15-19,20513653.5
United States of America,2072,75,20-24,23124072
United States of America,2072,57,25-29,24867513
United States of America,2072,62,30-34,24981318
United States of America,2072,63,35-39,24339939
United States of America,2072,64,40-44,23656076
United States of America,2072,69,45-49,23241401.5
United States of America,2072,66,50-54,23093447
United States of America,2072,68,55-59,23960456
United States of America,2072,60,60-64,24294719.5
United States of America,2073,67,15-19,20498766
United States of America,2073,75,20-24,23047185
United States of America,2073,57,25-29,24799131
United States of America,2073,62,30-34,25030216
United States of America,2073,63,35-39,24475540
United States of America,2073,64,40-44,23763109.5
United States of America,2073,69,45-49,23263933
United States of America,2073,66,50-54,23015221.5
United States of America,2073,68,55-59,23811371
United States of America,2073,60,60-64,24015485
United States of America,2074,67,15-19,20497599.5
United States of America,2074,75,20-24,22982615
United States of America,2074,57,25-29,24719321
United States of America,2074,62,30-34,25049411
United States of America,2074,63,35-39,24608826.5
United States of America,2074,64,40-44,23878783
United States of America,2074,69,45-49,23331873
United States of America,2074,66,50-54,22964002.5
United States of America,2074,68,55-59,23603749.5
United States of America,2074,60,60-64,23808033.5
United States of America,2075,67,15-19,20513343.5
United States of America,2075,75,20-24,22933147.5
United States of America,2075,57,25-29,24634453
United States of America,2075,62,30-34,25047015.5
United States of America,2075,63,35-39,24734253
United States of America,2075,64,40-44,24002650.5
United States of America,2075,69,45-49,23406387.5
United States of America,2075,66,50-54,23006711.5
United States of America,2075,68,55-59,23308359
United States of America,2075,60,60-64,23707373
United States of America,2076,67,15-19,20542187.5
United States of America,2076,75,20-24,22899347
United States of America,2076,57,25-29,24551907.5
United States of America,2076,62,30-34,25024554
United States of America,2076,63,35-39,24839280
United States of America,2076,64,40-44,24138329
United States of America,2076,69,45-49,23490352.5
United States of America,2076,66,50-54,23091768.5
United States of America,2076,68,55-59,23012942
United States of America,2076,60,60-64,23654575.5
United States of America,2077,67,15-19,20578864
United States of America,2077,75,20-24,22877208.5
United States of America,2077,57,25-29,24471620.5
United States of America,2077,62,30-34,24975778.5
United States of America,2077,63,35-39,24917129
United States of America,2077,64,40-44,24278408
United States of America,2077,69,45-49,23585160.5
United States of America,2077,66,50-54,23114377.5
United States of America,2077,68,55-59,22855116.5
United States of America,2077,60,60-64,23570229
United States of America,2078,67,15-19,20626053.5
United States of America,2078,75,20-24,22866536.5
United States of America,2078,57,25-29,24397978.5
United States of America,2078,62,30-34,24909453.5
United States of America,2078,63,35-39,24967549.5
United States of America,2078,64,40-44,24415203.5
United States of America,2078,69,45-49,23693788
United States of America,2078,66,50-54,23139921
United States of America,2078,68,55-59,22783066
United States of America,2078,60,60-64,23430919.5
United States of America,2079,67,15-19,20682657.5
United States of America,2079,75,20-24,22867147
United States of America,2079,57,25-29,24333139.5
United States of America,2079,62,30-34,24829260.5
United States of America,2079,63,35-39,24986888
United States of America,2079,64,40-44,24548723
United States of America,2079,69,45-49,23810329.5
United States of America,2079,66,50-54,23209892.5
United States of America,2079,68,55-59,22736991
United States of America,2079,60,60-64,23233770.5
United States of America,2080,67,15-19,20744886.5
United States of America,2080,75,20-24,22880670.5
United States of America,2080,57,25-29,24276415.5
United States of America,2080,62,30-34,24737335
United States of America,2080,63,35-39,24980261.5
United States of America,2080,64,40-44,24671577.5
United States of America,2080,69,45-49,23933115.5
United States of America,2080,66,50-54,23285028.5
United States of America,2080,68,55-59,22782278
United States of America,2080,60,60-64,22949529
United States of America,2081,67,15-19,20815701
United States of America,2081,75,20-24,22913556.5
United States of America,2081,57,25-29,24241261.5
United States of America,2081,62,30-34,24650115.5
United States of America,2081,63,35-39,24954876
United States of America,2081,64,40-44,24774989
United States of America,2081,69,45-49,24068324
United States of America,2081,66,50-54,23370110
United States of America,2081,68,55-59,22869735
United States of America,2081,60,60-64,22665720.5
United States of America,2082,67,15-19,20893141
United States of America,2082,75,20-24,22958753
United States of America,2082,57,25-29,24225498.5
United States of America,2082,62,30-34,24572133
United States of America,2082,63,35-39,24907890.5
United States of America,2082,64,40-44,24854289.5
United States of America,2082,69,45-49,24209870.5
United States of America,2082,66,50-54,23467332.5
United States of America,2082,68,55-59,22896815
United States of America,2082,60,60-64,22517882
United States of America,2083,67,15-19,20971283.5
United States of America,2083,75,20-24,23010102.5
United States of America,2083,57,25-29,24217296
United States of America,2083,62,30-34,24498828.5
United States of America,2083,63,35-39,24842238.5
United States of America,2083,64,40-44,24905466.5
United States of America,2083,69,45-49,24347534.5
United States of America,2083,66,50-54,23577733.5
United States of America,2083,68,55-59,22926332
United States of America,2083,60,60-64,22453526
United States of America,2084,67,15-19,21048009
United States of America,2084,75,20-24,23070912
United States of America,2084,57,25-29,24221395.5
United States of America,2084,62,30-34,24436237
United States of America,2084,63,35-39,24764164.5
United States of America,2084,64,40-44,24926570
United States of America,2084,69,45-49,24482494.5
United States of America,2084,66,50-54,23696347.5
United States of America,2084,68,55-59,22999860.5
United States of America,2084,60,60-64,22414595.5
United States of America,2085,67,15-19,21120214
United States of America,2085,75,20-24,23133062
United States of America,2085,57,25-29,24234189
United States of America,2085,62,30-34,24380483.5
United States of America,2085,63,35-39,24673978
United States of America,2085,64,40-44,24921528
United States of America,2085,69,45-49,24606595
United States of America,2085,66,50-54,23820944
United States of America,2085,68,55-59,23078319.5
United States of America,2085,60,60-64,22465035.5
United States of America,2086,67,15-19,21184814.5
United States of America,2086,75,20-24,23200270.5
United States of America,2086,57,25-29,24257994
United States of America,2086,62,30-34,24337004
United States of America,2086,63,35-39,24582192
United States of America,2086,64,40-44,24893837
United States of America,2086,69,45-49,24708781.5
United States of America,2086,66,50-54,23956099.5
United States of America,2086,68,55-59,23165302.5
United States of America,2086,60,60-64,22555745.5
United States of America,2087,67,15-19,21239834.5
United States of America,2087,75,20-24,23277627.5
United States of America,2087,57,25-29,24296329.5
United States of America,2087,62,30-34,24312270
United States of America,2087,63,35-39,24498877
United States of America,2087,64,40-44,24844223
United States of America,2087,69,45-49,24786797.5
United States of America,2087,66,50-54,24097489.5
United States of America,2087,68,55-59,23264295
United States of America,2087,60,60-64,22587341
United States of America,2088,67,15-19,21283299
United States of America,2088,75,20-24,23361628.5
United States of America,2088,57,25-29,24350155
United States of America,2088,62,30-34,24303171.5
United States of America,2088,63,35-39,24425539.5
United States of America,2088,64,40-44,24779425.5
United States of America,2088,69,45-49,24839127.5
United States of America,2088,66,50-54,24236690
United States of America,2088,68,55-59,23377611.5
United States of America,2088,60,60-64,22622461
United States of America,2089,67,15-19,21314244.5
United States of America,2089,75,20-24,23445012.5
United States of America,2089,57,25-29,24415265.5
United States of America,2089,62,30-34,24307760
United States of America,2089,63,35-39,24363694.5
United States of America,2089,64,40-44,24702765
United States of America,2089,69,45-49,24861882.5
United States of America,2089,66,50-54,24373459
United States of America,2089,68,55-59,23499245
United States of America,2089,60,60-64,22700929.5
United States of America,2090,67,15-19,21332275.5
United States of America,2090,75,20-24,23521354
United States of America,2090,57,25-29,24481548
United States of America,2090,62,30-34,24323658.5
United States of America,2090,63,35-39,24310717.5
United States of America,2090,64,40-44,24615273
United States of America,2090,69,45-49,24859343
United States of America,2090,66,50-54,24499860.5
United States of America,2090,68,55-59,23627023.5
United States of America,2090,60,60-64,22784356.5
United States of America,2091,67,15-19,21342203.5
United States of America,2091,75,20-24,23590412.5
United States of America,2091,57,25-29,24553453
United States of America,2091,62,30-34,24351839
United States of America,2091,63,35-39,24270981.5
United States of America,2091,64,40-44,24526815
United States of America,2091,69,45-49,24834661
United States of America,2091,66,50-54,24604768
United States of America,2091,68,55-59,23765416.5
United States of America,2091,60,60-64,22876263.5
United States of America,2092,67,15-19,21347616.5
United States of America,2092,75,20-24,23650198.5
United States of America,2092,57,25-29,24633900
United States of America,2092,62,30-34,24391871
United States of America,2092,63,35-39,24248068
United States of America,2092,64,40-44,24445623.5
United States of America,2092,69,45-49,24787414
United States of America,2092,66,50-54,24685181.5
United States of America,2092,68,55-59,23909619.5
United States of America,2092,60,60-64,22979694.5
United States of America,2093,67,15-19,21348973.5
United States of America,2093,75,20-24,23695779
United States of America,2093,57,25-29,24716239
United States of America,2093,62,30-34,24442308
United States of America,2093,63,35-39,24237275
United States of America,2093,64,40-44,24372155
United States of America,2093,69,45-49,24723588.5
United States of America,2093,66,50-54,24739065.5
United States of America,2093,68,55-59,24050899.5
United States of America,2093,60,60-64,23096600
United States of America,2094,67,15-19,21344972
United States of America,2094,75,20-24,23729360.5
United States of America,2094,57,25-29,24798235
United States of America,2094,62,30-34,24503544
United States of America,2094,63,35-39,24239677
United States of America,2094,64,40-44,24309846
United States of America,2094,69,45-49,24647773.5
United States of America,2094,66,50-54,24763480
United States of America,2094,68,55-59,24189723
United States of America,2094,60,60-64,23221668.5
United States of America,2095,67,15-19,21330964
United States of America,2095,75,20-24,23752619.5
United States of America,2095,57,25-29,24878556
United States of America,2095,62,30-34,24571868
United States of America,2095,63,35-39,24257416
United States of America,2095,64,40-44,24258936
United States of America,2095,69,45-49,24562846
United States of America,2095,66,50-54,24763942
United States of America,2095,68,55-59,24319164.5
United States of America,2095,60,60-64,23353504
United States of America,2096,67,15-19,21307309.5
United States of America,2096,75,20-24,23763601
United States of America,2096,57,25-29,24946479
United States of America,2096,62,30-34,24642242.5
United States of America,2096,63,35-39,24285167.5
United States of America,2096,64,40-44,24219755
United States of America,2096,69,45-49,24475929.5
United States of America,2096,66,50-54,24741628
United States of America,2096,68,55-59,24426708.5
United States of America,2096,60,60-64,23495251
United States of America,2097,67,15-19,21276796.5
United States of America,2097,75,20-24,23767899.5
United States of America,2097,57,25-29,25000985.5
United States of America,2097,62,30-34,24716954.5
United States of America,2097,63,35-39,24321899
United States of America,2097,64,40-44,24195519.5
United States of America,2097,69,45-49,24395028
United States of America,2097,66,50-54,24696019
United States of America,2097,68,55-59,24509345
United States of America,2097,60,60-64,23642179
United States of America,2098,67,15-19,21240856
United States of America,2098,75,20-24,23767650
United States of America,2098,57,25-29,25040632.5
United States of America,2098,62,30-34,24793197.5
United States of America,2098,63,35-39,24368819
United States of America,2098,64,40-44,24183229.5
United States of America,2098,69,45-49,24321698
United States of America,2098,66,50-54,24633833
United States of America,2098,68,55-59,24565635
United States of America,2098,60,60-64,23786153.5
United States of America,2099,67,15-19,21204028
United States of America,2099,75,20-24,23760988
United States of America,2099,57,25-29,25066138.5
United States of America,2099,62,30-34,24866745
United States of America,2099,63,35-39,24424895
United States of America,2099,64,40-44,24183049.5
United States of America,2099,69,45-49,24258771.5
United States of America,2099,66,50-54,24559211.5
United States of America,2099,68,55-59,24592345
United States of America,2099,60,60-64,23927360
United States of America,2100,67,15-19,21170809.5
United States of America,2100,75,20-24,23742590.5
United States of America,2100,57,25-29,25078369.5
United States of America,2100,62,30-34,24935491
United States of America,2100,63,35-39,24485869.5
United States of America,2100,64,40-44,24196759.5
United States of America,2100,69,45-49,24206260.5
United States of America,2100,66,50-54,24474867.5
United States of America,2100,68,55-59,24594831.5
United States of America,2100,60,60-64,24058903.5
