Location,Time,AgeId,Age,Value
United States of America,2006,68,55-59,17939134
United States of America,2006,60,60-64,13817576.5
United States of America,2007,67,15-19,21988081
United States of America,2007,75,20-24,21455259.5
United States of America,2007,57,25-29,21087580
United States of America,2007,62,30-34,19590200.5
United States of America,2007,63,35-39,21004131
United States of America,2007,64,40-44,22064583.5
United States of America,2007,69,45-49,23034500.5
United States of America,2007,66,50-54,21132349
United States of America,2007,68,55-59,18247678.5
United States of America,2007,60,60-64,14656927
United States of America,2008,67,15-19,22103375.5
United States of America,2008,75,20-24,21654418
United States of America,2008,57,25-29,21433832.5
United States of America,2008,62,30-34,19834216.5
United States of America,2008,63,35-39,20838003.5
United States of America,2008,64,40-44,21609717.5
United States of America,2008,69,45-49,23080224
United States of America,2008,66,50-54,21620050
United States of America,2008,68,55-59,18604183.5
United States of America,2008,60,60-64,15396211.5
United States of America,2009,67,15-19,22054378.5
United States of America,2009,75,20-24,21948312
United States of America,2009,57,25-29,21691712
United States of America,2009,62,30-34,20192569
United States of America,2009,63,35-39,20602872.5
United States of America,2009,64,40-44,21242768.5
United States of America,2009,69,45-49,23038869.5
United States of America,2009,66,50-54,22023461
United States of America,2009,68,55-59,19105606
United States of America,2009,60,60-64,16085726.5
United States of America,2010,67,15-19,21847554.5
United States of America,2010,75,20-24,22319125.5
United States of America,2010,57,25-29,21886026.5
United States of America,2010,62,30-34,20656400
United States of America,2010,63,35-39,20263504
United States of America,2010,64,40-44,21125496.5
United States of America,2010,69,45-49,22863042
United States of America,2010,66,50-54,22356967.5
United States of America,2010,68,55-59,19677192
United States of America,2010,60,60-64,16833317
United States of America,2011,67,15-19,21567111.5
United States of America,2011,75,20-24,22701370
United States of America,2011,57,25-29,22079443.5
United States of America,2011,62,30-34,21189883
United States of America,2011,63,35-39,19962970
United States of America,2011,64,40-44,21197084
United States of America,2011,69,45-49,22507136.5
United States of America,2011,66,50-54,22658693
United States of America,2011,68,55-59,20246267.5
United States of America,2011,60,60-64,17392591
United States of America,2012,67,15-19,21317804.5
United States of America,2012,75,20-24,22988196.5
United States of America,2012,57,25-29,22273994.5
United States of America,2012,62,30-34,21682444.5
United States of America,2012,63,35-39,19984941.5
United States of America,2012,64,40-44,21193699.5
United States of America,2012,69,45-49,22072749
United States of America,2012,66,50-54,22859512.5
United States of America,2012,68,55-59,20776529
United States of America,2012,60,60-64,17688460.5
United States of America,2013,67,15-19,21166928
United States of America,2013,75,20-24,23122030.5
United States of America,2013,57,25-29,22523320
United States of America,2013,62,30-34,22091504.5
United States of America,2013,63,35-39,20283705
United States of America,2013,64,40-44,21072710
United States of America,2013,69,45-49,21654186.5
United States of America,2013,66,50-54,22920723.5
United States of America,2013,68,55-59,21257747.5
United States of America,2013,60,60-64,18027922.5
United States of America,2014,67,15-19,21138637.5
United States of America,2014,75,20-24,23085181.5
United States of America,2014,57,25-29,22861936
United States of America,2014,62,30-34,22412709
United States of America,2014,63,35-39,20697968
United States of America,2014,64,40-44,20885805.5
United States of America,2014,69,45-49,21326009
United States of America,2014,66,50-54,22897701.5
United States of America,2014,68,55-59,21657833.5
United States of America,2014,60,60-64,18504828.5
United States of America,2015,67,15-19,21248848.5
United States of America,2015,75,20-24,22873388
United States of America,2015,57,25-29,23261235.5
United States of America,2015,62,30-34,22660815.5
United States of America,2015,63,35-39,21212587
United States of America,2015,64,40-44,20594480
United States of America,2015,69,45-49,21243960.5
United States of America,2015,66,50-54,22741420
United States of America,2015,68,55-59,21986140.5
United States of America,2015,60,60-64,19044986
United States of America,2016,67,15-19,21452213.5
United States of America,2016,75,20-24,22599382.5
United States of America,2016,57,25-29,23663794
United States of America,2016,62,30-34,22886164.5
United States of America,2016,63,35-39,21773555.5
United States of America,2016,64,40-44,20323397
United States of America,2016,69,45-49,21335774.5
United States of America,2016,66,50-54,22405825
United States of America,2016,68,55-59,22282041
United States of America,2016,60,60-64,19583197.5
United States of America,2017,67,15-19,21663507
United States of America,2017,75,20-24,22381900
United States of America,2017,57,25-29,23976107.5
United States of America,2017,62,30-34,23100348
United States of America,2017,63,35-39,22276049.5
United States of America,2017,64,40-44,20355747.5
United States of America,2017,69,45-49,21341795
United States of America,2017,66,50-54,21992670
United States of America,2017,68,55-59,22483078.5
United States of America,2017,60,60-64,20088926.5
United States of America,2018,67,15-19,21873006.5
United States of America,2018,75,20-24,22252339
United States of America,2018,57,25-29,24126825
United States of America,2018,62,30-34,23361454.5
United States of America,2018,63,35-39,22689945
United States of America,2018,64,40-44,20657178.5
United States of America,2018,69,45-49,21226702
United States of America,2018,66,50-54,21592975
United States of America,2018,68,55-59,22547559
United States of America,2018,60,60-64,20548106
United States of America,2019,67,15-19,22078478.5
United States of America,2019,75,20-24,22236979
United States of America,2019,57,25-29,24101130.5
United States of America,2019,62,30-34,23705388.5
United States of America,2019,63,35-39,23012463.5
United States of America,2019,64,40-44,21068934
United States of America,2019,69,45-49,21044441
United States of America,2019,66,50-54,21280677
